week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2019-07-27","2019-07-20","04000US26","Michigan",5119,47122,4290558,1.1,1564200000000,"July 27th, 2019","04000US26","Michigan"
"2019-07-20","2019-07-13","04000US08","Colorado",1506,17249,2620560,0.66,1563595200000,"July 20th, 2019","04000US08","Colorado"
"2019-07-20","2019-07-13","04000US12","Florida",6919,41553,8563455,0.49,1563595200000,"July 20th, 2019","04000US12","Florida"
"2019-07-20","2019-07-13","04000US13","Georgia",6107,27148,4332044,0.63,1563595200000,"July 20th, 2019","04000US13","Georgia"
"2019-07-20","2019-07-13","04000US20","Kansas",1366,9472,1357246,0.7,1563595200000,"July 20th, 2019","04000US20","Kansas"
"2019-07-20","2019-07-13","04000US26","Michigan",9548,56430,4290558,1.32,1563595200000,"July 20th, 2019","04000US26","Michigan"
"2019-07-13","2019-07-06","04000US08","Colorado",1809,16974,2620560,0.65,1562990400000,"July 13th, 2019","04000US08","Colorado"
"2019-07-13","2019-07-06","04000US12","Florida",7710,40614,8563455,0.47,1562990400000,"July 13th, 2019","04000US12","Florida"
"2019-07-13","2019-07-06","04000US13","Georgia",9065,30818,4332044,0.71,1562990400000,"July 13th, 2019","04000US13","Georgia"
"2019-07-13","2019-07-06","04000US20","Kansas",2657,8316,1357246,0.61,1562990400000,"July 13th, 2019","04000US20","Kansas"
"2019-07-13","2019-07-06","04000US26","Michigan",8058,42764,4290558,1,1562990400000,"July 13th, 2019","04000US26","Michigan"
"2019-07-06","2019-06-29","04000US08","Colorado",1450,17305,2605045,0.66,1562385600000,"July 6th, 2019","04000US08","Colorado"
"2019-07-06","2019-06-29","04000US12","Florida",7150,37702,8511100,0.44,1562385600000,"July 6th, 2019","04000US12","Florida"
"2019-07-06","2019-06-29","04000US13","Georgia",5234,24972,4314458,0.58,1562385600000,"July 6th, 2019","04000US13","Georgia"
"2019-07-06","2019-06-29","04000US20","Kansas",2419,7914,1354497,0.58,1562385600000,"July 6th, 2019","04000US20","Kansas"
"2019-07-06","2019-06-29","04000US26","Michigan",13619,40215,4277987,0.94,1562385600000,"July 6th, 2019","04000US26","Michigan"
"2019-06-29","2019-06-22","04000US08","Colorado",1355,16960,2605045,0.65,1561780800000,"June 29th, 2019","04000US08","Colorado"
"2019-06-29","2019-06-22","04000US12","Florida",6845,38733,8511100,0.46,1561780800000,"June 29th, 2019","04000US12","Florida"
"2019-06-29","2019-06-22","04000US13","Georgia",4336,24973,4314458,0.58,1561780800000,"June 29th, 2019","04000US13","Georgia"
"2019-06-29","2019-06-22","04000US20","Kansas",1516,7871,1354497,0.58,1561780800000,"June 29th, 2019","04000US20","Kansas"
"2019-06-29","2019-06-22","04000US26","Michigan",6890,38722,4277987,0.91,1561780800000,"June 29th, 2019","04000US26","Michigan"
"2019-06-22","2019-06-15","04000US08","Colorado",1537,18078,2605045,0.69,1561176000000,"June 22nd, 2019","04000US08","Colorado"
"2019-06-22","2019-06-15","04000US12","Florida",7025,38862,8511100,0.46,1561176000000,"June 22nd, 2019","04000US12","Florida"
"2019-06-22","2019-06-15","04000US13","Georgia",4412,25072,4314458,0.58,1561176000000,"June 22nd, 2019","04000US13","Georgia"
"2019-06-22","2019-06-15","04000US20","Kansas",1292,8149,1354497,0.6,1561176000000,"June 22nd, 2019","04000US20","Kansas"
"2019-06-22","2019-06-15","04000US26","Michigan",5219,38080,4277987,0.89,1561176000000,"June 22nd, 2019","04000US26","Michigan"
