week_ended,reflecting_week_end,fips_code,state_name,initial_claims,continued_claims,covered_employment,insured_unemployment_rate,Timestamp,Date,ID Geography,Geography
"2019-02-02","2019-01-26","04000US20","Kansas",1917,12743,1351006,0.94,1549083600000,"February 2nd, 2019","04000US20","Kansas"
"2019-02-02","2019-01-26","04000US26","Michigan",9017,77171,4268378,1.81,1549083600000,"February 2nd, 2019","04000US26","Michigan"
"2019-01-26","2019-01-19","04000US08","Colorado",2409,23144,2588607,0.89,1548478800000,"January 26th, 2019","04000US08","Colorado"
"2019-01-26","2019-01-19","04000US12","Florida",8226,39817,8445378,0.47,1548478800000,"January 26th, 2019","04000US12","Florida"
"2019-01-26","2019-01-19","04000US13","Georgia",5529,28292,4290407,0.66,1548478800000,"January 26th, 2019","04000US13","Georgia"
"2019-01-26","2019-01-19","04000US20","Kansas",2501,12051,1351006,0.89,1548478800000,"January 26th, 2019","04000US20","Kansas"
"2019-01-26","2019-01-19","04000US26","Michigan",8855,89907,4268378,2.11,1548478800000,"January 26th, 2019","04000US26","Michigan"
"2019-01-19","2019-01-12","04000US08","Colorado",2701,21748,2588607,0.84,1547874000000,"January 19th, 2019","04000US08","Colorado"
"2019-01-19","2019-01-12","04000US12","Florida",9152,38589,8445378,0.46,1547874000000,"January 19th, 2019","04000US12","Florida"
"2019-01-19","2019-01-12","04000US13","Georgia",7402,29355,4290407,0.68,1547874000000,"January 19th, 2019","04000US13","Georgia"
"2019-01-19","2019-01-12","04000US20","Kansas",2795,10975,1351006,0.81,1547874000000,"January 19th, 2019","04000US20","Kansas"
"2019-01-19","2019-01-12","04000US26","Michigan",9655,82324,4268378,1.93,1547874000000,"January 19th, 2019","04000US26","Michigan"
"2019-01-12","2019-01-05","04000US08","Colorado",3077,21215,2588607,0.82,1547269200000,"January 12th, 2019","04000US08","Colorado"
"2019-01-12","2019-01-05","04000US12","Florida",10113,39523,8445378,0.47,1547269200000,"January 12th, 2019","04000US12","Florida"
"2019-01-12","2019-01-05","04000US13","Georgia",13145,38060,4290407,0.89,1547269200000,"January 12th, 2019","04000US13","Georgia"
"2019-01-12","2019-01-05","04000US20","Kansas",2165,11583,1351006,0.86,1547269200000,"January 12th, 2019","04000US20","Kansas"
"2019-01-12","2019-01-05","04000US26","Michigan",16109,87582,4268378,2.05,1547269200000,"January 12th, 2019","04000US26","Michigan"
"2019-01-05","2018-12-29","04000US08","Colorado",2710,21864,2571804,0.85,1546664400000,"January 5th, 2019","04000US08","Colorado"
"2019-01-05","2018-12-29","04000US12","Florida",7343,37091,8401478,0.44,1546664400000,"January 5th, 2019","04000US12","Florida"
"2019-01-05","2018-12-29","04000US13","Georgia",17800,38700,4271277,0.91,1546664400000,"January 5th, 2019","04000US13","Georgia"
"2019-01-05","2018-12-29","04000US20","Kansas",2185,11601,1347587,0.86,1546664400000,"January 5th, 2019","04000US20","Kansas"
"2019-01-05","2018-12-29","04000US26","Michigan",15380,70485,4256044,1.66,1546664400000,"January 5th, 2019","04000US26","Michigan"
"2018-12-29","2018-12-22","04000US08","Colorado",2014,18847,2571804,0.73,1546059600000,"December 29th, 2018","04000US08","Colorado"
"2018-12-29","2018-12-22","04000US12","Florida",5216,38469,8401478,0.46,1546059600000,"December 29th, 2018","04000US12","Florida"
"2018-12-29","2018-12-22","04000US13","Georgia",7002,26538,4271277,0.62,1546059600000,"December 29th, 2018","04000US13","Georgia"
"2018-12-29","2018-12-22","04000US20","Kansas",2779,9198,1347587,0.68,1546059600000,"December 29th, 2018","04000US20","Kansas"
"2018-12-29","2018-12-22","04000US26","Michigan",20210,63302,4256044,1.49,1546059600000,"December 29th, 2018","04000US26","Michigan"
"2018-12-22","2018-12-15","04000US08","Colorado",2430,20163,2571804,0.78,1545454800000,"December 22nd, 2018","04000US08","Colorado"
"2018-12-22","2018-12-15","04000US12","Florida",6531,37335,8401478,0.44,1545454800000,"December 22nd, 2018","04000US12","Florida"
"2018-12-22","2018-12-15","04000US13","Georgia",6098,25146,4271277,0.59,1545454800000,"December 22nd, 2018","04000US13","Georgia"
"2018-12-22","2018-12-15","04000US20","Kansas",2288,9056,1347587,0.67,1545454800000,"December 22nd, 2018","04000US20","Kansas"
"2018-12-22","2018-12-15","04000US26","Michigan",12213,57014,4256044,1.34,1545454800000,"December 22nd, 2018","04000US26","Michigan"
"2018-12-15","2018-12-08","04000US08","Colorado",2293,18371,2571804,0.71,1544850000000,"December 15th, 2018","04000US08","Colorado"
"2018-12-15","2018-12-08","04000US12","Florida",6993,40751,8401478,0.49,1544850000000,"December 15th, 2018","04000US12","Florida"
"2018-12-15","2018-12-08","04000US13","Georgia",5363,24086,4271277,0.56,1544850000000,"December 15th, 2018","04000US13","Georgia"
"2018-12-15","2018-12-08","04000US20","Kansas",1894,9063,1347587,0.67,1544850000000,"December 15th, 2018","04000US20","Kansas"
"2018-12-15","2018-12-08","04000US26","Michigan",13059,59407,4256044,1.4,1544850000000,"December 15th, 2018","04000US26","Michigan"
"2018-12-08","2018-12-01","04000US08","Colorado",2711,19188,2571804,0.75,1544245200000,"December 8th, 2018","04000US08","Colorado"
"2018-12-08","2018-12-01","04000US12","Florida",7072,36573,8401478,0.44,1544245200000,"December 8th, 2018","04000US12","Florida"
"2018-12-08","2018-12-01","04000US13","Georgia",5969,24163,4271277,0.57,1544245200000,"December 8th, 2018","04000US13","Georgia"
"2018-12-08","2018-12-01","04000US20","Kansas",2126,8831,1347587,0.66,1544245200000,"December 8th, 2018","04000US20","Kansas"
"2018-12-08","2018-12-01","04000US26","Michigan",11332,46999,4256044,1.1,1544245200000,"December 8th, 2018","04000US26","Michigan"
"2018-12-01","2018-11-24","04000US08","Colorado",2272,18652,2571804,0.73,1543640400000,"December 1st, 2018","04000US08","Colorado"
"2018-12-01","2018-11-24","04000US12","Florida",7126,43042,8401478,0.51,1543640400000,"December 1st, 2018","04000US12","Florida"
"2018-12-01","2018-11-24","04000US13","Georgia",9728,29263,4271277,0.69,1543640400000,"December 1st, 2018","04000US13","Georgia"
"2018-12-01","2018-11-24","04000US20","Kansas",2647,8483,1347587,0.63,1543640400000,"December 1st, 2018","04000US20","Kansas"
"2018-12-01","2018-11-24","04000US26","Michigan",11611,47275,4256044,1.11,1543640400000,"December 1st, 2018","04000US26","Michigan"
"2018-11-24","2018-11-17","04000US08","Colorado",1883,17725,2571804,0.69,1543035600000,"November 24th, 2018","04000US08","Colorado"
"2018-11-24","2018-11-17","04000US12","Florida",4817,34283,8401478,0.41,1543035600000,"November 24th, 2018","04000US12","Florida"
"2018-11-24","2018-11-17","04000US13","Georgia",5062,21990,4271277,0.51,1543035600000,"November 24th, 2018","04000US13","Georgia"
"2018-11-24","2018-11-17","04000US20","Kansas",1562,7549,1347587,0.56,1543035600000,"November 24th, 2018","04000US20","Kansas"
"2018-11-24","2018-11-17","04000US26","Michigan",7392,38012,4256044,0.89,1543035600000,"November 24th, 2018","04000US26","Michigan"
"2018-11-17","2018-11-10","04000US08","Colorado",2228,17188,2571804,0.67,1542430800000,"November 17th, 2018","04000US08","Colorado"
"2018-11-17","2018-11-10","04000US12","Florida",6898,41264,8401478,0.49,1542430800000,"November 17th, 2018","04000US12","Florida"
"2018-11-17","2018-11-10","04000US13","Georgia",6741,25101,4271277,0.59,1542430800000,"November 17th, 2018","04000US13","Georgia"
"2018-11-17","2018-11-10","04000US20","Kansas",1735,7623,1347587,0.57,1542430800000,"November 17th, 2018","04000US20","Kansas"
"2018-11-17","2018-11-10","04000US26","Michigan",7869,44082,4256044,1.04,1542430800000,"November 17th, 2018","04000US26","Michigan"
"2018-11-10","2018-11-03","04000US08","Colorado",2230,17489,2571804,0.68,1541826000000,"November 10th, 2018","04000US08","Colorado"
"2018-11-10","2018-11-03","04000US12","Florida",7784,39259,8401478,0.47,1541826000000,"November 10th, 2018","04000US12","Florida"
"2018-11-10","2018-11-03","04000US13","Georgia",6375,24033,4271277,0.56,1541826000000,"November 10th, 2018","04000US13","Georgia"
"2018-11-10","2018-11-03","04000US20","Kansas",1815,7312,1347587,0.54,1541826000000,"November 10th, 2018","04000US20","Kansas"
"2018-11-10","2018-11-03","04000US26","Michigan",7545,39917,4256044,0.94,1541826000000,"November 10th, 2018","04000US26","Michigan"
"2018-11-03","2018-10-27","04000US08","Colorado",1930,16808,2571804,0.65,1541217600000,"November 3rd, 2018","04000US08","Colorado"
"2018-11-03","2018-10-27","04000US12","Florida",7771,40238,8401478,0.48,1541217600000,"November 3rd, 2018","04000US12","Florida"
"2018-11-03","2018-10-27","04000US13","Georgia",5317,23304,4271277,0.55,1541217600000,"November 3rd, 2018","04000US13","Georgia"
"2018-11-03","2018-10-27","04000US20","Kansas",1368,7169,1347587,0.53,1541217600000,"November 3rd, 2018","04000US20","Kansas"
"2018-11-03","2018-10-27","04000US26","Michigan",11040,38068,4256044,0.89,1541217600000,"November 3rd, 2018","04000US26","Michigan"
"2018-10-27","2018-10-20","04000US08","Colorado",1873,17294,2571804,0.67,1540612800000,"October 27th, 2018","04000US08","Colorado"
"2018-10-27","2018-10-20","04000US12","Florida",8987,35879,8401478,0.43,1540612800000,"October 27th, 2018","04000US12","Florida"
"2018-10-27","2018-10-20","04000US13","Georgia",5697,24227,4271277,0.57,1540612800000,"October 27th, 2018","04000US13","Georgia"
"2018-10-27","2018-10-20","04000US20","Kansas",1269,7312,1347587,0.54,1540612800000,"October 27th, 2018","04000US20","Kansas"
"2018-10-27","2018-10-20","04000US26","Michigan",6187,34761,4256044,0.82,1540612800000,"October 27th, 2018","04000US26","Michigan"
"2018-10-20","2018-10-13","04000US08","Colorado",1963,16354,2571804,0.64,1540008000000,"October 20th, 2018","04000US08","Colorado"
"2018-10-20","2018-10-13","04000US12","Florida",10672,37256,8401478,0.44,1540008000000,"October 20th, 2018","04000US12","Florida"
"2018-10-20","2018-10-13","04000US13","Georgia",8146,25459,4271277,0.6,1540008000000,"October 20th, 2018","04000US13","Georgia"
"2018-10-20","2018-10-13","04000US20","Kansas",1380,7767,1347587,0.58,1540008000000,"October 20th, 2018","04000US20","Kansas"
"2018-10-20","2018-10-13","04000US26","Michigan",4970,36263,4256044,0.85,1540008000000,"October 20th, 2018","04000US26","Michigan"
"2018-10-13","2018-10-06","04000US08","Colorado",2206,16284,2571804,0.63,1539403200000,"October 13th, 2018","04000US08","Colorado"
"2018-10-13","2018-10-06","04000US12","Florida",6685,36601,8401478,0.44,1539403200000,"October 13th, 2018","04000US12","Florida"
"2018-10-13","2018-10-06","04000US13","Georgia",4478,23341,4271277,0.55,1539403200000,"October 13th, 2018","04000US13","Georgia"
"2018-10-13","2018-10-06","04000US20","Kansas",1862,7069,1347587,0.52,1539403200000,"October 13th, 2018","04000US20","Kansas"
"2018-10-13","2018-10-06","04000US26","Michigan",4726,34545,4256044,0.81,1539403200000,"October 13th, 2018","04000US26","Michigan"
"2018-10-06","2018-09-29","04000US08","Colorado",1944,16474,2555075,0.64,1538798400000,"October 6th, 2018","04000US08","Colorado"
"2018-10-06","2018-09-29","04000US12","Florida",7066,37586,8351842,0.45,1538798400000,"October 6th, 2018","04000US12","Florida"
"2018-10-06","2018-09-29","04000US13","Georgia",5328,24101,4248833,0.57,1538798400000,"October 6th, 2018","04000US13","Georgia"
"2018-10-06","2018-09-29","04000US20","Kansas",1273,7105,1346180,0.53,1538798400000,"October 6th, 2018","04000US20","Kansas"
"2018-10-06","2018-09-29","04000US26","Michigan",6850,37948,4243808,0.89,1538798400000,"October 6th, 2018","04000US26","Michigan"
"2018-09-29","2018-09-22","04000US08","Colorado",1514,16617,2555075,0.65,1538193600000,"September 29th, 2018","04000US08","Colorado"
"2018-09-29","2018-09-22","04000US12","Florida",5707,39560,8351842,0.47,1538193600000,"September 29th, 2018","04000US12","Florida"
"2018-09-29","2018-09-22","04000US13","Georgia",4327,23162,4248833,0.55,1538193600000,"September 29th, 2018","04000US13","Georgia"
"2018-09-29","2018-09-22","04000US20","Kansas",1140,7409,1346180,0.55,1538193600000,"September 29th, 2018","04000US20","Kansas"
"2018-09-29","2018-09-22","04000US26","Michigan",4521,34194,4243808,0.81,1538193600000,"September 29th, 2018","04000US26","Michigan"
"2018-09-22","2018-09-15","04000US08","Colorado",1605,16630,2555075,0.65,1537588800000,"September 22nd, 2018","04000US08","Colorado"
"2018-09-22","2018-09-15","04000US12","Florida",5901,39812,8351842,0.48,1537588800000,"September 22nd, 2018","04000US12","Florida"
"2018-09-22","2018-09-15","04000US13","Georgia",4417,23535,4248833,0.55,1537588800000,"September 22nd, 2018","04000US13","Georgia"
"2018-09-22","2018-09-15","04000US20","Kansas",1215,7545,1346180,0.56,1537588800000,"September 22nd, 2018","04000US20","Kansas"
"2018-09-22","2018-09-15","04000US26","Michigan",4538,36047,4243808,0.85,1537588800000,"September 22nd, 2018","04000US26","Michigan"
"2018-09-15","2018-09-08","04000US08","Colorado",1545,16880,2555075,0.66,1536984000000,"September 15th, 2018","04000US08","Colorado"
"2018-09-15","2018-09-08","04000US12","Florida",6108,41057,8351842,0.49,1536984000000,"September 15th, 2018","04000US12","Florida"
"2018-09-15","2018-09-08","04000US13","Georgia",5602,24963,4248833,0.59,1536984000000,"September 15th, 2018","04000US13","Georgia"
"2018-09-15","2018-09-08","04000US20","Kansas",1228,8188,1346180,0.61,1536984000000,"September 15th, 2018","04000US20","Kansas"
"2018-09-15","2018-09-08","04000US26","Michigan",4161,34871,4243808,0.82,1536984000000,"September 15th, 2018","04000US26","Michigan"
"2018-09-08","2018-09-01","04000US08","Colorado",1550,16918,2555075,0.66,1536379200000,"September 8th, 2018","04000US08","Colorado"
"2018-09-08","2018-09-01","04000US12","Florida",5764,41212,8351842,0.49,1536379200000,"September 8th, 2018","04000US12","Florida"
"2018-09-08","2018-09-01","04000US13","Georgia",4007,24256,4248833,0.57,1536379200000,"September 8th, 2018","04000US13","Georgia"
"2018-09-08","2018-09-01","04000US20","Kansas",1807,7508,1346180,0.56,1536379200000,"September 8th, 2018","04000US20","Kansas"
"2018-09-08","2018-09-01","04000US26","Michigan",4477,37181,4243808,0.88,1536379200000,"September 8th, 2018","04000US26","Michigan"
"2018-09-01","2018-08-25","04000US08","Colorado",1529,17263,2555075,0.68,1535774400000,"September 1st, 2018","04000US08","Colorado"
"2018-09-01","2018-08-25","04000US12","Florida",5851,43042,8351842,0.52,1535774400000,"September 1st, 2018","04000US12","Florida"
"2018-09-01","2018-08-25","04000US13","Georgia",4270,24533,4248833,0.58,1535774400000,"September 1st, 2018","04000US13","Georgia"
"2018-09-01","2018-08-25","04000US20","Kansas",1234,7882,1346180,0.59,1535774400000,"September 1st, 2018","04000US20","Kansas"
"2018-09-01","2018-08-25","04000US26","Michigan",4079,38632,4243808,0.91,1535774400000,"September 1st, 2018","04000US26","Michigan"
"2018-08-25","2018-08-18","04000US08","Colorado",1557,17559,2555075,0.69,1535169600000,"August 25th, 2018","04000US08","Colorado"
"2018-08-25","2018-08-18","04000US12","Florida",6519,43629,8351842,0.52,1535169600000,"August 25th, 2018","04000US12","Florida"
"2018-08-25","2018-08-18","04000US13","Georgia",4181,25160,4248833,0.59,1535169600000,"August 25th, 2018","04000US13","Georgia"
"2018-08-25","2018-08-18","04000US20","Kansas",1338,8129,1346180,0.6,1535169600000,"August 25th, 2018","04000US20","Kansas"
"2018-08-25","2018-08-18","04000US26","Michigan",5494,42925,4243808,1.01,1535169600000,"August 25th, 2018","04000US26","Michigan"
"2018-08-18","2018-08-11","04000US08","Colorado",1555,18070,2555075,0.71,1534564800000,"August 18th, 2018","04000US08","Colorado"
"2018-08-18","2018-08-11","04000US12","Florida",6463,46735,8351842,0.56,1534564800000,"August 18th, 2018","04000US12","Florida"
"2018-08-18","2018-08-11","04000US13","Georgia",4713,25360,4248833,0.6,1534564800000,"August 18th, 2018","04000US13","Georgia"
"2018-08-18","2018-08-11","04000US20","Kansas",1327,8344,1346180,0.62,1534564800000,"August 18th, 2018","04000US20","Kansas"
"2018-08-18","2018-08-11","04000US26","Michigan",4567,39790,4243808,0.94,1534564800000,"August 18th, 2018","04000US26","Michigan"
"2018-08-11","2018-08-04","04000US08","Colorado",1494,18494,2555075,0.72,1533960000000,"August 11th, 2018","04000US08","Colorado"
"2018-08-11","2018-08-04","04000US12","Florida",6830,45324,8351842,0.54,1533960000000,"August 11th, 2018","04000US12","Florida"
"2018-08-11","2018-08-04","04000US13","Georgia",5663,27042,4248833,0.64,1533960000000,"August 11th, 2018","04000US13","Georgia"
"2018-08-11","2018-08-04","04000US20","Kansas",1292,8711,1346180,0.65,1533960000000,"August 11th, 2018","04000US20","Kansas"
"2018-08-11","2018-08-04","04000US26","Michigan",5078,43486,4243808,1.02,1533960000000,"August 11th, 2018","04000US26","Michigan"
"2018-08-04","2018-07-28","04000US08","Colorado",1560,18975,2555075,0.74,1533355200000,"August 4th, 2018","04000US08","Colorado"
"2018-08-04","2018-07-28","04000US12","Florida",6880,47496,8351842,0.57,1533355200000,"August 4th, 2018","04000US12","Florida"
"2018-08-04","2018-07-28","04000US13","Georgia",4714,26409,4248833,0.62,1533355200000,"August 4th, 2018","04000US13","Georgia"
"2018-08-04","2018-07-28","04000US20","Kansas",1395,9086,1346180,0.67,1533355200000,"August 4th, 2018","04000US20","Kansas"
"2018-08-04","2018-07-28","04000US26","Michigan",4768,52025,4243808,1.23,1533355200000,"August 4th, 2018","04000US26","Michigan"
"2018-07-28","2018-07-21","04000US08","Colorado",1611,18921,2555075,0.74,1532750400000,"July 28th, 2018","04000US08","Colorado"
"2018-07-28","2018-07-21","04000US12","Florida",6705,45655,8351842,0.55,1532750400000,"July 28th, 2018","04000US12","Florida"
"2018-07-28","2018-07-21","04000US13","Georgia",4766,27448,4248833,0.65,1532750400000,"July 28th, 2018","04000US13","Georgia"
"2018-07-28","2018-07-21","04000US20","Kansas",1404,9012,1346180,0.67,1532750400000,"July 28th, 2018","04000US20","Kansas"
"2018-07-28","2018-07-21","04000US26","Michigan",4845,46438,4243808,1.09,1532750400000,"July 28th, 2018","04000US26","Michigan"
"2018-07-21","2018-07-14","04000US08","Colorado",1606,19331,2555075,0.76,1532145600000,"July 21st, 2018","04000US08","Colorado"
"2018-07-21","2018-07-14","04000US12","Florida",7519,47755,8351842,0.57,1532145600000,"July 21st, 2018","04000US12","Florida"
"2018-07-21","2018-07-14","04000US13","Georgia",6364,28305,4248833,0.67,1532145600000,"July 21st, 2018","04000US13","Georgia"
"2018-07-21","2018-07-14","04000US20","Kansas",1739,8890,1346180,0.66,1532145600000,"July 21st, 2018","04000US20","Kansas"
"2018-07-21","2018-07-14","04000US26","Michigan",10842,56582,4243808,1.33,1532145600000,"July 21st, 2018","04000US26","Michigan"
"2018-07-14","2018-07-07","04000US08","Colorado",1690,19165,2555075,0.75,1531540800000,"July 14th, 2018","04000US08","Colorado"
"2018-07-14","2018-07-07","04000US12","Florida",7939,44588,8351842,0.53,1531540800000,"July 14th, 2018","04000US12","Florida"
"2018-07-14","2018-07-07","04000US13","Georgia",10096,32731,4248833,0.77,1531540800000,"July 14th, 2018","04000US13","Georgia"
"2018-07-14","2018-07-07","04000US20","Kansas",1438,9151,1346180,0.68,1531540800000,"July 14th, 2018","04000US20","Kansas"
"2018-07-14","2018-07-07","04000US26","Michigan",7139,41703,4243808,0.98,1531540800000,"July 14th, 2018","04000US26","Michigan"
"2018-07-07","2018-06-30","04000US08","Colorado",1764,18440,2539516,0.73,1530936000000,"July 7th, 2018","04000US08","Colorado"
"2018-07-07","2018-06-30","04000US12","Florida",8360,42699,8249914,0.52,1530936000000,"July 7th, 2018","04000US12","Florida"
"2018-07-07","2018-06-30","04000US13","Georgia",6078,27367,4227826,0.65,1530936000000,"July 7th, 2018","04000US13","Georgia"
"2018-07-07","2018-06-30","04000US20","Kansas",1494,8603,1345119,0.64,1530936000000,"July 7th, 2018","04000US20","Kansas"
"2018-07-07","2018-06-30","04000US26","Michigan",16402,39419,4234697,0.93,1530936000000,"July 7th, 2018","04000US26","Michigan"
"2018-06-30","2018-06-23","04000US08","Colorado",1653,19536,2539516,0.77,1530331200000,"June 30th, 2018","04000US08","Colorado"
"2018-06-30","2018-06-23","04000US12","Florida",7280,43283,8249914,0.52,1530331200000,"June 30th, 2018","04000US12","Florida"
"2018-06-30","2018-06-23","04000US13","Georgia",5223,26544,4227826,0.63,1530331200000,"June 30th, 2018","04000US13","Georgia"
"2018-06-30","2018-06-23","04000US20","Kansas",1471,8902,1345119,0.66,1530331200000,"June 30th, 2018","04000US20","Kansas"
"2018-06-30","2018-06-23","04000US26","Michigan",7128,39804,4234697,0.94,1530331200000,"June 30th, 2018","04000US26","Michigan"
"2018-06-23","2018-06-16","04000US08","Colorado",1612,19050,2539516,0.75,1529726400000,"June 23rd, 2018","04000US08","Colorado"
"2018-06-23","2018-06-16","04000US12","Florida",7370,43787,8249914,0.53,1529726400000,"June 23rd, 2018","04000US12","Florida"
"2018-06-23","2018-06-16","04000US13","Georgia",4664,26071,4227826,0.62,1529726400000,"June 23rd, 2018","04000US13","Georgia"
"2018-06-23","2018-06-16","04000US20","Kansas",1478,8889,1345119,0.66,1529726400000,"June 23rd, 2018","04000US20","Kansas"
"2018-06-23","2018-06-16","04000US26","Michigan",5635,35247,4234697,0.83,1529726400000,"June 23rd, 2018","04000US26","Michigan"
"2018-06-16","2018-06-09","04000US08","Colorado",1745,19623,2539516,0.77,1529121600000,"June 16th, 2018","04000US08","Colorado"
"2018-06-16","2018-06-09","04000US12","Florida",7761,39636,8249914,0.48,1529121600000,"June 16th, 2018","04000US12","Florida"
"2018-06-16","2018-06-09","04000US13","Georgia",4760,26239,4227826,0.62,1529121600000,"June 16th, 2018","04000US13","Georgia"
"2018-06-16","2018-06-09","04000US20","Kansas",1484,8653,1345119,0.64,1529121600000,"June 16th, 2018","04000US20","Kansas"
"2018-06-16","2018-06-09","04000US26","Michigan",4410,38122,4234697,0.9,1529121600000,"June 16th, 2018","04000US26","Michigan"
"2018-06-09","2018-06-02","04000US08","Colorado",1926,18811,2539516,0.74,1528516800000,"June 9th, 2018","04000US08","Colorado"
"2018-06-09","2018-06-02","04000US12","Florida",9538,38595,8249914,0.47,1528516800000,"June 9th, 2018","04000US12","Florida"
"2018-06-09","2018-06-02","04000US13","Georgia",6323,27022,4227826,0.64,1528516800000,"June 9th, 2018","04000US13","Georgia"
"2018-06-09","2018-06-02","04000US20","Kansas",1610,8748,1345119,0.65,1528516800000,"June 9th, 2018","04000US20","Kansas"
"2018-06-09","2018-06-02","04000US26","Michigan",4301,35942,4234697,0.85,1528516800000,"June 9th, 2018","04000US26","Michigan"
"2018-06-02","2018-05-26","04000US08","Colorado",1904,19781,2539516,0.78,1527912000000,"June 2nd, 2018","04000US08","Colorado"
"2018-06-02","2018-05-26","04000US12","Florida",6996,38155,8249914,0.46,1527912000000,"June 2nd, 2018","04000US12","Florida"
"2018-06-02","2018-05-26","04000US13","Georgia",4835,25774,4227826,0.61,1527912000000,"June 2nd, 2018","04000US13","Georgia"
"2018-06-02","2018-05-26","04000US20","Kansas",1549,8427,1345119,0.63,1527912000000,"June 2nd, 2018","04000US20","Kansas"
"2018-06-02","2018-05-26","04000US26","Michigan",4106,43853,4234697,1.04,1527912000000,"June 2nd, 2018","04000US26","Michigan"
"2018-05-26","2018-05-19","04000US08","Colorado",1857,19037,2539516,0.75,1527307200000,"May 26th, 2018","04000US08","Colorado"
"2018-05-26","2018-05-19","04000US12","Florida",7080,37298,8249914,0.45,1527307200000,"May 26th, 2018","04000US12","Florida"
"2018-05-26","2018-05-19","04000US13","Georgia",5233,25410,4227826,0.6,1527307200000,"May 26th, 2018","04000US13","Georgia"
"2018-05-26","2018-05-19","04000US20","Kansas",1722,8380,1345119,0.62,1527307200000,"May 26th, 2018","04000US20","Kansas"
"2018-05-26","2018-05-19","04000US26","Michigan",7744,41543,4234697,0.98,1527307200000,"May 26th, 2018","04000US26","Michigan"
"2018-05-19","2018-05-12","04000US08","Colorado",1771,20475,2539516,0.81,1526702400000,"May 19th, 2018","04000US08","Colorado"
"2018-05-19","2018-05-12","04000US12","Florida",6840,37581,8249914,0.46,1526702400000,"May 19th, 2018","04000US12","Florida"
"2018-05-19","2018-05-12","04000US13","Georgia",4847,25316,4227826,0.6,1526702400000,"May 19th, 2018","04000US13","Georgia"
"2018-05-19","2018-05-12","04000US20","Kansas",1752,8231,1345119,0.61,1526702400000,"May 19th, 2018","04000US20","Kansas"
"2018-05-19","2018-05-12","04000US26","Michigan",6721,40977,4234697,0.97,1526702400000,"May 19th, 2018","04000US26","Michigan"
"2018-05-12","2018-05-05","04000US08","Colorado",1776,19649,2539516,0.77,1526097600000,"May 12th, 2018","04000US08","Colorado"
"2018-05-12","2018-05-05","04000US12","Florida",6977,36826,8249914,0.45,1526097600000,"May 12th, 2018","04000US12","Florida"
"2018-05-12","2018-05-05","04000US13","Georgia",4748,25056,4227826,0.59,1526097600000,"May 12th, 2018","04000US13","Georgia"
"2018-05-12","2018-05-05","04000US20","Kansas",1488,8369,1345119,0.62,1526097600000,"May 12th, 2018","04000US20","Kansas"
"2018-05-12","2018-05-05","04000US26","Michigan",5026,41835,4234697,0.99,1526097600000,"May 12th, 2018","04000US26","Michigan"
"2018-05-05","2018-04-28","04000US08","Colorado",1899,21380,2539516,0.84,1525492800000,"May 5th, 2018","04000US08","Colorado"
"2018-05-05","2018-04-28","04000US12","Florida",6695,37415,8249914,0.45,1525492800000,"May 5th, 2018","04000US12","Florida"
"2018-05-05","2018-04-28","04000US13","Georgia",5089,25330,4227826,0.6,1525492800000,"May 5th, 2018","04000US13","Georgia"
"2018-05-05","2018-04-28","04000US20","Kansas",1467,8609,1345119,0.64,1525492800000,"May 5th, 2018","04000US20","Kansas"
"2018-05-05","2018-04-28","04000US26","Michigan",4366,47303,4234697,1.12,1525492800000,"May 5th, 2018","04000US26","Michigan"
"2018-04-28","2018-04-21","04000US08","Colorado",1755,19891,2539516,0.78,1524888000000,"April 28th, 2018","04000US08","Colorado"
"2018-04-28","2018-04-21","04000US12","Florida",6302,37030,8249914,0.45,1524888000000,"April 28th, 2018","04000US12","Florida"
"2018-04-28","2018-04-21","04000US13","Georgia",4124,24998,4227826,0.59,1524888000000,"April 28th, 2018","04000US13","Georgia"
"2018-04-28","2018-04-21","04000US20","Kansas",1430,8610,1345119,0.64,1524888000000,"April 28th, 2018","04000US20","Kansas"
"2018-04-28","2018-04-21","04000US26","Michigan",4135,53620,4234297,1.27,1524888000000,"April 28th, 2018","04000US26","Michigan"
"2018-04-21","2018-04-14","04000US08","Colorado",2324,21339,2539516,0.84,1524283200000,"April 21st, 2018","04000US08","Colorado"
"2018-04-21","2018-04-14","04000US12","Florida",6381,38737,8249914,0.47,1524283200000,"April 21st, 2018","04000US12","Florida"
"2018-04-21","2018-04-14","04000US13","Georgia",4804,25378,4227826,0.6,1524283200000,"April 21st, 2018","04000US13","Georgia"
"2018-04-21","2018-04-14","04000US20","Kansas",1413,8955,1345119,0.67,1524283200000,"April 21st, 2018","04000US20","Kansas"
"2018-04-21","2018-04-14","04000US26","Michigan",4826,60096,4234697,1.42,1524283200000,"April 21st, 2018","04000US26","Michigan"
"2018-04-14","2018-04-07","04000US08","Colorado",2191,20209,2539516,0.8,1523678400000,"April 14th, 2018","04000US08","Colorado"
"2018-04-14","2018-04-07","04000US12","Florida",6524,36801,8249914,0.45,1523678400000,"April 14th, 2018","04000US12","Florida"
"2018-04-14","2018-04-07","04000US13","Georgia",5602,26674,4227826,0.63,1523678400000,"April 14th, 2018","04000US13","Georgia"
"2018-04-14","2018-04-07","04000US20","Kansas",1310,9740,1345119,0.72,1523678400000,"April 14th, 2018","04000US20","Kansas"
